net,length_um
clknet_leaf_126_i_clk,110.7
blkProj14999_7.blk3994_49.rs1_data_o\[13\],110.64
clknet_leaf_136_i_clk,110.54
_05262_,110.44
blkProj14999_7.blkProj14991_42.blk3979_4.accum\[10\],110.4
_05462_,110.355
_04357_,110.22
_06948_,110.2
_07032_,110.18
_06434_,110.16
_04278_,109.94
_03854_,109.69
_03928_,109.64
clknet_leaf_153_i_clk,109.6
_04811_,109.58
_05782_,109.54
_00150_,109.42
clknet_leaf_107_i_clk,109.34
_04860_,109.12
_07276_,109.06
_03382_,108.98
_04917_,108.98
net413,108.92
blkProj14999_7.blkProj14963_55.blk1779_46.A\[0\],108.74
_06944_,108.72
blkProj14999_7.blkProj14991_42.blk3979_4.accum\[37\],108.7
blkProj14999_7.blk3994_49.rs1_data_o\[15\],108.58
blkProj14999_7.blkProj14963_55.blk1779_46.A\[9\],108.5
clknet_leaf_52_i_clk,108.36
_04040_,108.34
_04977_,108.34
clknet_leaf_64_i_clk,108.335
clknet_3_5_0_i_clk,108.27
_03916_,108.24
clknet_leaf_13_i_clk,108.2
_04634_,108
_06846_,108
clknet_leaf_138_i_clk,107.95
clknet_3_1_0_i_clk,107.88
_04999_,107.795
clknet_leaf_39_i_clk,107.715
_06973_,107.575
_05000_,107.49
_00160_,107.36
clknet_leaf_165_i_clk,107.32
blkProj14999_7.blkProj14991_42.blk3979_4.accum\[35\],107.28
